gene_id	Heart_P3_1	Heart_P3_2	Heart_P3_3	Heart_P3_4	Heart_P63_1	Heart_P63_2	Heart_P63_3	Heart_P63_4
ENSMUSG00000002345	337	356	307	409	343	176	224	313
ENSMUSG00000002346	2016	2501	1726	2785	2754	1446	2127	3851
ENSMUSG00000002365	902	1103	886	1235	1111	628	667	945
ENSMUSG00000002372	1320	1553	1297	1877	1210	675	906	1177
ENSMUSG00000002379	3093	3331	3219	3908	5646	2754	5202	6001
ENSMUSG00000002384	1	0	0	0	1	0	0	1
ENSMUSG00000002393	884	1103	879	652	667	582	651	994
ENSMUSG00000002395	982	1179	859	1236	1926	999	1500	2087
ENSMUSG00000002396	172	195	149	135	345	244	328	297
ENSMUSG00000002409	505	618	468	747	740	345	467	521
ENSMUSG00000002413	1437	1750	1446	1735	1851	939	794	1140
ENSMUSG00000002416	903	1034	1073	891	1718	1038	1647	1919
ENSMUSG00000002428	993	1212	1002	1200	1062	676	536	893
ENSMUSG00000002455	1367	1635	1329	1721	1526	818	1194	1530
ENSMUSG00000002458	198	259	192	314	166	109	107	146
ENSMUSG00000002459	4	1	2	8	5	0	4	0
ENSMUSG00000002475	76	116	68	104	190	96	121	146
ENSMUSG00000002477	863	993	922	914	400	292	276	395
